#th	d'	n_p
0	12.635417	1.998227
1	12.663187	2.016410
2	12.677352	2.024502
3	12.711449	2.043355
4	12.810082	2.095845
5	12.833267	2.106946
6	12.910209	2.143352
7	13.033345	2.199894
8	13.134719	2.244917
9	13.508107	2.414109
10	13.616891	2.463309
11	13.684562	2.492707
12	13.813904	2.548556
13	13.930108	2.597901
14	14.077057	2.659943
15	14.208500	2.714917
16	14.354383	2.775710
17	14.512635	2.841693
18	14.632815	2.891282
19	14.740204	2.935039
20	14.868138	2.987106
21	14.998340	3.039952
22	15.148079	3.101012
23	15.284935	3.156765
24	15.399416	3.202995
25	15.528068	3.255091
26	15.654385	3.306199
27	15.760710	3.348753
28	15.869198	3.392043
29	15.992492	3.441509
30	16.108693	3.487976
31	16.222571	3.533423
32	16.341304	3.580925
33	16.472318	3.633783
34	16.586956	3.679754
35	16.695309	3.723019
36	16.806449	3.767471
37	16.932584	3.818519
38	17.055712	3.868473
39	17.172856	3.915974
40	17.283353	3.960641
41	17.389247	4.003307
42	17.506947	4.051312
43	17.623312	4.098896
44	17.737273	4.145557
45	17.846263	4.190085
46	17.958417	4.236175
47	18.084523	4.288934
48	18.217157	4.345176
49	18.354095	4.404025
50	18.478208	4.457280
51	18.599289	4.509459
52	18.718398	4.561031
53	18.832086	4.610233
54	18.947863	4.660759
55	19.066387	4.713008
56	19.181871	4.764060
57	19.294766	4.814088
58	19.408908	4.865070
59	19.519228	4.914334
60	19.630066	4.964142
61	19.743007	5.015382
62	19.857921	5.068048
63	19.970309	5.119682
64	20.083569	5.172151
65	20.197068	5.225128
66	20.320381	5.284218
67	20.444575	5.344476
68	20.563088	5.401994
69	20.685167	5.462257
70	20.809646	5.524698
71	20.934188	5.587954
72	21.071519	5.660339
73	21.196604	5.725870
74	21.322891	5.793116
75	21.449538	5.861592
76	21.577640	5.932136
77	21.704550	6.002953
78	21.830900	6.074494
79	21.955145	6.145597
80	22.080243	6.218487
81	22.205253	6.292516
82	22.328921	6.366709
83	22.451964	6.441629
84	22.575495	6.518245
85	22.700676	6.597685
86	22.825824	6.678628
87	22.949603	6.759897
88	23.073044	6.842448
89	23.194562	6.924760
90	23.315292	7.007890
91	136.074157	7.089036
92	137.024859	7.170459
93	137.977416	7.252735
94	138.935635	7.336650
95	139.893442	7.421021
96	140.843445	7.504380
97	141.795056	7.588714
98	142.743654	7.673098
99	143.700259	7.759925
100	144.659487	7.848075
101	145.619857	7.937273
102	146.584508	8.028268
103	147.559969	8.122586
104	148.533611	8.217381
105	149.496258	8.310577
106	150.458608	8.404777
107	151.424626	8.500996
108	152.395018	8.599468
109	153.369229	8.700122
110	154.343134	8.801992
111	155.305041	8.902187
112	156.289175	9.009628
113	157.253431	9.113343
114	158.220664	9.219529
115	159.190153	9.328072
116	160.146202	9.434780
117	161.098556	9.542492
118	162.056534	9.653927
119	163.018099	9.768588
120	163.967629	9.882074
121	164.911368	9.996368
122	165.850413	10.111935
123	166.779057	10.227212
124	167.717954	10.348612
125	168.773763	10.509020
126	169.704965	10.632585
127	170.632095	10.758266
128	171.555579	10.886353
129	172.476933	11.017491
130	173.386422	11.148624
131	174.374570	11.310209
132	175.273979	11.445116
133	176.166572	11.582284
134	177.094763	11.736663
135	178.005256	11.889323
136	178.867724	12.029693
137	179.725112	12.173920
138	180.569672	12.319359
139	181.396432	12.464454
140	182.219633	12.614837
141	183.034558	12.768893
142	183.823314	12.920054
